CNS,Situação,Nome,UF,Município,Endereço,Bairro,CEP,Column
143537,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - RIBEIRÃO DO LARGO,BA,RIBEIRAO DO LARGO,"RUA ARLINDO MARQUES, 24",FORTALEZA,45150000,
143545,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - CARDEAL DA SILVA,BA,CARDEAL DA SILVA,"PRAÇA DIVINA PASTORA, S/N",CENTRO,48390000,
143578,Ativo,IBIRATAIA - CARTORIO DE REGISTRO CIVIL - DISTRITO DE ALGODÃO,BA,IBIRATAIA,"PRAÇA JUSCELINO KUBSTCHECK DE OLIVEIRA, S/N.",CENTRO,45580000,
143586,Ativo,IBITIARA - CARTORIO DE REGISTRO CIVIL - DISTRITO DE OLHOS DAGUA DO SECO,BA,IBITIARA,PRAÇA PEDRO FRANCISCO DE ARAUJO S/N,CENTRO,46700000,
143594,Ativo,CARTÓRIO DO REGISTRO CIVIL - SEDE,BA,IGUAI,"RUA FULGÊNCIO TEIXEIRA,  349, SALA 02",CENTRO,45280000,
143602,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - PEDRÃO,BA,PEDRAO,"RUA DOIS DE JULHO, Nº 63",CENTRO,48140000,
143610,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - JAPOMIRIM,BA,ITAGIBA,RUA SANTO ANTONIO S/Nº,CENTRO,45588000,
143628,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - LAFAYETE COUTINHO,BA,LAFAIETE COUTINHO,"RUA 20 DE FEVEREIRO, S/N",CENTRO,45215000,
143644,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - ITAJU DO COLONIA,BA,ITAJU DO COLONIA,"RUA MIGUEL FERNANDES MOREIRA, Nº 97",CENTRO,45730000,
143651,Inativo,ITUAÇU - CARTORIO DE REGISTRO CIVIL - DISTRITO DE CARAIBUNA,BA,ITUACU,"RUA JOSÉ INÁCIO RAMOS, SNº",ZONA RURAL,46620000,
143669,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - CONTENDAS DO SINCORÁ,BA,CONTENDAS DO SINCORA,"AVENIDA JOSÉ CORREIA, SNº",CENTRO,46620000,
143677,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - PIRAÍ DO NORTE,BA,PIRAI DO NORTE,"RUA ANDRE ARAUJO LEITE, S/N",CENTRO,45436000,
143685,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - MORTUGABA,BA,MORTUGABA,"RUA JOSÉ SILVA, Nº 154",CENTRO,46290000,
143701,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - IUIU,BA,IUIU,PÇA SANTA LUZIA - 219,CENTRO,46438000,
143719,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - IBITIQUIRA,BA,PLANALTINO,PRAÇA DA FEIRA,CENTRO,45375000,
143727,Ativo,REGISTRO CIVIL COM FUNÇÃO NOTARIAL - DISTRITO DE COQUEIROS,BA,MARAGOGIPE,"PRAÇA CONCEIÇÃO, S/Nº",COQUEIROS,44420000,
143784,Ativo,SERVIÇO DISTRITAL DE AREIA BRANCA DOS ASSIS,PR,MANDIRITUBA,"RUA CANDIDO ALVES MACHADO FAGUNDES, 21",AREIA BRANCA DOS ASSIS,83810000,
143800,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE POTIRENDABA",SP,POTIRENDABA,"RUA CAPITÃO JOSÉ OLIVA, Nº 1.221",CENTRO,15105000,
143818,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - IBIRANHEM,BA,MUCURI,RUA DO COMÉRCIO N. 14,CENTRO,45930000,
143826,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - ITABATÃ,BA,MUCURI,"AVENIDA MINAS GERAIS, 878",CENTRO,45936000,
143834,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - TAQUARINHA,BA,MUCURI,"RUA SANTA CLARA, Nº436",CENTRO,45935000,
143842,Ativo,CARTÓRIO DO REGISTRO CIVIL - SEDE,BA,MUNDO NOVO,PRAÇA JAIRO MOREIRA DE ALMEIDA Nº 266,CENTRO,44800000,
143859,Ativo,CARTÓRIO DE REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - CRISÓPOLIS,BA,OLINDINA,"PRAÇA DR. RODOLFO DANTAS COELHO, S/N",CENTRO,48480000,
143867,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - MANDIROBA,BA,SEBASTIAO LARANJEIRAS,VILA DE MANDIROBA,VILA,46450000,
143875,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - CATURAMA,BA,CATURAMA,"RUA ARTUR ANTONIO COSTA, 101",CENTRO,46575000,
143883,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - RIO DO PIRES,BA,RIO DO PIRES,"RUA TIBERIO NEVES, SN",CENTRO,46550000,
143891,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - CATOLÉS,BA,ABAÍRA,"TRAVESSA JOSÉ LOURENÇO,S/N",CENTRO,46695000,
143909,Ativo,CARTORIO DE REGISTRO CIVIL COM FUNÇÕES NOTARIAIS DE CANDIBA/BA,BA,CANDIBA,"RUA JOSÉ NEVES, 204",CENTRO,46380000,
143925,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - MANSIDÃO,BA,MANSIDAO,PRAÇA JK  S/Nº,CENTRO,47160000,
143933,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - ELISIO MEDRADO,BA,ELISIO MEDRADO,RUA VITORINO PEIXOTO,CENTRO,45305000,
143941,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - MONTE CRUZEIRO,BA,ELISIO MEDRADO,"DT MONTE CRUZEIRO, SN,",ZONA RURAL,45305000,
143958,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - OUTEIRO REDONDO,BA,SAO FELIX,VILA OUTEIRO REDONDO,OUTEIRO REDONDO,44365000,
143974,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - JACUÍPE,BA,SAO SEBASTIAO DO PASSE,"RUA DO CLUBE, S/Nº",CENTRO,43850000,
143982,Ativo,CARTÓRIO DE REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - AMÉRICO ALVES,BA,SENTO SE,PRAÇA CORONEL JOÃO NUNES SENTO SÉ,CENTRO,47350000,
144006,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE MONGAGUÁ",SP,MONGAGUA,"AVENIDA SÃO PAULO, 2824",JARDIM MARINA,11730000,
144048,Ativo,CARTORIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - TAPIRAMA,BA,UBAITABA,AV. PRESIDENTE VARGAS,CENTRO,45545000,
144055,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - WAGNER,BA,WAGNER,"RUA DR. WOOD, Nº 32",CENTRO,46970000,
144063,Ativo,CARTORIO DE REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - TEOLANDIA,BA,TEOLANDIA,"AVENIDA PRESIDENTE TANCREDO NEVES, 41",CENTRO,45465000,
144071,Ativo,ALAGOINHAS - CARTORIO DE REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - DISTRITO DE ARAÇAS,BA,ARACAS,"RUA ARQUIBALDO FRANCO PIMENTEL, S/N, CEP 48.108-000",CENTRO,48108000,
144097,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - ITACHAMA,BA,AMARGOSA,"PRAÇA DA IGREJA, SNº",ZONA RURAL,45300000,
144105,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - ITATINGUI,BA,ARATACA,"TRAVESSA PAULO AMÉRICO, S/N",CENTRO,45698000,
144113,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - MASCOTE,BA,MASCOTE,"PRAÇA 3 PODERES , 75",CENTRO,45870000,
144139,Ativo,CARTÓRIO DE REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - BEM BOM,BA,CASA NOVA,X PRAÇA GILSON VIANA S/N,CENTRO,47300000,
144147,Ativo,CARTÓRIO DO REGISTRO CIVIL - SEDE,BA,EUCLIDES DA CUNHA,"RUA JOSÉ CAMERINDO DE ABREU, 727",JEREMIAS,48500000,
144154,Ativo,CARTÓRIO DE REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - ALGODÕES,BA,QUIJINGUE,"PRÇA DA MATRIZ, 54",CENTRO,48832000,
144162,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - QUIJINGUE,BA,QUIJINGUE,"RUA SÃO JOÃO, 251",CENTRO,48830000,
144170,Ativo,REGISTRO CIVIL 2º° OFÍCIO,BA,FEIRA DE SANTANA,"RUA DOMINGOS BARBOSA DE ARAÚJO, Nº 385",CENTRO,44001280,
144188,Ativo,REGISTRO CIVIL DO 2º OFÍCIO,BA,ILHEUS,"AV. OSVALDO CRUZ, 74, SALA 716, CIDADE NOVA, CEP 45.652-130",CIDADE NOVA,45652130,
144196,Ativo,ESCRIVANIA DE PAZ DO MUNICÍPIO DE TREVISO,SC,TREVISO,"RUA LUIZ GREGÓRIO SPRICIGO, 176",CENTRO,88862000,
144212,Ativo,"ESCRIVANIA DE PAZ DO MUNICÍPIO DE PAINEL, COMARCA DE LAGES-SC",SC,PAINEL,"AVENIDA PADRE ANTONIO TRIVELLIN, S/Nº",CENTRO,88543000,
144220,Ativo,ESCRIVANIA DE PAZ,SC,BOM JESUS DO OESTE,"AV. NOSSA SENHORA DE FÁTIMA, 398",CENTRO,89873000,
144238,Ativo,ESCRIVANIA DE PAZ DO MUNICÍPIO DE MONTE CASTELO,SC,MONTE CASTELO,"RUA BENTO GONÇALVES, 1045, SALA 01",CENTRO,89380000,
144253,Ativo,ESCRIVANIA DE PAZ DO MUNICÍPIO DE BANDEIRANTE,SC,BANDEIRANTE,"AVENIDA SANTO ANTÔNIO, N° 1785",CENTRO,89905000,
144261,Ativo,ESCRIVANIA DE PAZ DO MUNICÍPIO DE BARRA BONITA,SC,BARRA BONITA,AVENIDA BUENOS AIRES - 820,CENTRO,89909000,
144279,Ativo,ESCRIVANIA DE PAZ DO MUNICÍPIO DE UNIÃO DO OESTE,SC,UNIAO DO OESTE,"AV. SANTO ANTÔNIO, 591",CENTRO,89845000,
144287,Ativo,REGISTRO CIVIL C/FUNC. NOTARIAIS - OLIVENÇA - ILHÉUS,BA,ILHEUS,"PRAÇA CLAUDIO MAGALHÃES, Nº 03, TÉRREO",OLIVENÇA,45660520,
144295,Ativo,CARTÓRIO DO REGISTRO CIVIL -  SEDE,BA,IPIAU,"RUA ANTÔNIO AUGUSTO SÁ, Nº 45, IPIAÚ-BAHIA, CEP 45.570-000",CONCEIÇÃO,45570000,
144303,Ativo,CARTÓRIO EDUARDO SOUSA,BA,ITAPE,"RUA PASSIANO PIO DO NASCIMENTO, Nº 19",CENTRO,45750000,
144311,Ativo,ITAMARAJU - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE JUCURUÇU,BA,ITAMARAJU,"RUA TRINDADE, 75",CENTRO,45834000,
144329,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - BARRA DO GIL,BA,VERA CRUZ,"RUA DAS FRUTAS, S/N,",BARRA DO GIL,44470000,
144337,Ativo,JACOBINA - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE CAATINGA DO MOURA,BA,JACOBINA,RUA MARGEM RIO DO OURO - FÓRUM,CENTRO,44700000,
144345,Ativo,JACOBINA - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE ITAITU,BA,JACOBINA,"PRAÇA DA MATRIZ, S/Nº",CENTRO,44700000,
144352,Ativo,JACOBINA - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE UMBURANAS,BA,UMBURANAS,"AVENIDA SEVEREINO RIBEIRO GRANJA, 33",CENTRO,44798000,
144386,Ativo,ESCRIVANIA DE PAZ DO DISTRITO DE AGUTI,SC,NOVA TRENTO,"PRAÇA GETULIO VARGAS, 300",CENTRO,88270000,
144394,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - PEDRO ALEXANDRE,BA,PEDRO ALEXANDRE,"PRAÇA JOÃO MARIA DE CARVALHO, S/Nº",CENTRO,48580000,
144402,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - CANATIBA,BA,MACAUBAS,PRAÇA JOSÉ FRANCISCO DA SILVA S/Nº,CENTRO,46510000,
144410,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - IBIPITANGA,BA,IBIPITANGA,"AV. CLÉRISTON ANDRADE, S/N",CENTRO,46540000,
144428,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - SALINAS DA MARGARIDA,BA,SALINAS DA MARGARIDA,"RUA LÍDIO PENA, S/N",CENTRO,44450000,
144436,Ativo,PAULO AFONSO - CARTORIO DE REGISTRO CIVIL - DISTRITO DE SANTA BRÍGIDA,BA,SANTA BRIGIDA,"RUA DOS ROMEIROS, S/N",CENTRO,48570000,
144444,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - BANZAE,BA,BANZAE,AV EVENCIA BRITO Nº489,CENTRO,48400000,
144451,Ativo,CARTÓRIO DO REGISTRO CIVIL - SEDE,BA,SANTO AMARO,"AVENIDA PAULINO DE ANDRADE, 7A",CENTRO,44200000,
144477,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - ANDORINHA,BA,ANDORINHA,"AVENIDA MONTE SANTO, 53",CENTRO,48990000,
144493,Ativo,REGISTRO CIVIL C/FUNC. NOTARIAIS-CACHOEIRA DO MATO,BA,TEIXEIRA DE FREITAS,RUA JESUINO MARTINS DE SOUZA,CENTRO,45995000,
144535,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TITULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE ITAPEVI",SP,ITAPEVI,"AVENIDA PRESIDENTE VARGAS, 650 - CEP 06694000",NOVA ITAPEVI,6694000,
144550,Ativo,REGISTRO CIVIL E NOTAS,AL,JEQUIA DA PRAIA,RUA SAO PEDRO,CENTRO,57244000,
144576,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - ADUSTINA,BA,ADUSTINA,"PRAÇA MARIA JOSE DE JESUS, 574",CENTRO,48435000,
144683,Ativo,SERVIÇO NOTARIAL E REGISTRO CIVIL DAS PESSOAS NATURAIS DE VILA QUEBRACHO,MS,ANAURILÂNDIA,"AVENIDA MATO GROSSO DO SUL, 391",CENTRO,79774000,
144691,Ativo,"SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS, ACUMULANDO, PRECARIAMENTE, O SERVIÇO DE REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS",PR,PIRAQUARA,"RUA: BARAO DO CERRO AZUL, 1120",CENTRO,83301000,
144725,Ativo,SERVIÇO DISTRITAL DE GRACIOSA,PR,PARANAVAI,"RUA: RUI BARBOSA, 1254",GRACIOSA,87722000,
144733,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS DO DISTRITO DE SUMAÚMA,TO,ITAGUATINS,"RUA PRINCIPAL DO POVOADO SUMAÚMA, S/Nº",CENTRO,77925000,
144741,Ativo,"SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS, ACUMULANDO, PRECARIAMENTE, O SERVIÇO DE REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS",PR,CIDADE GAUCHA,"AVENIDA RIOGRANDENSE, 2010",CENTRO,87820000,
144766,Ativo,CARTORIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS,PE,BREJAO,"AV. BACHAREL FRANSCISCO PEREIRA LOPES, 273",CENTRO,55325000,
144774,Ativo,SERVIÇO DISTRITAL DE SÃO MARCOS,PR,SAO JOSE DOS PINHAIS,AVENIDA PISTA LATERAL (MARGINAL) BR 376 Nº 19.139,SÃO MARCOS,83090360,
144782,Ativo,SERVIÇO DISTRITAL DE SÃO TOMÉ,PR,SAO TOME,"AVENIDA JOSÉ MADUREIRA, 890",CENTRO,87220000,
144790,Ativo,SERVIÇO DISTRITAL DE IGUARAÇU,PR,IGUARACU,RUA MELCHIORI MILANI. 437-B,CENTRO,86750000,
144808,Ativo,SERVIÇO DISTRITAL DE IÇARA,PR,ASTORGA,RUA JOSÉ BONIFÁCIO 049,CENTRO,86730000,
144816,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS CUCAÚ,PE,RIO FORMOSO,RUA SÃO JOSÉ - 80,CENTRO,55570000,
144824,Ativo,CARTORIO DO REGISTRO CIVIL DE PESSOAS NATURAIS,MG,PARAISOPOLIS,"RUA SILVIANO BRANDÃO, 687",CENTRO,37660000,
144865,Inativo,CRCPN E TABELIONATO DE NOTAS DO 2º DISTRITO,RJ,ITABORAI,"AVENIDA NOSSA SENHORA DA CONCEIÇÃO, Nº. 02",************,24870000,
144873,Ativo,SERVIÇO DISTRITAL DE JACIABA,PR,PRUDENTOPOLIS,"RUA DOS IMIGRANTES POLONESES, S/N",JACIABA,84420970,
144899,Ativo,SERVIÇO DISTRITAL DE ITAÚNA DO SUL,PR,ITAUNA DO SUL,"RUA ESTADOS UNIDOS, 350",CENTRO,87980000,
144907,Ativo,SERVIÇO DISTRITAL DE LARANJAL,PR,LARANJAL,"RUA TUPÃ, 793",CENTRO,85275000,
144923,Ativo,SERVIÇO DISTRITAL DE SÃO JOSÉ,PR,SANTA MARIA DO OESTE,"RUA PEDRO MORAES DE OLIVEIRA, S/N",CENTRO,85230000,
144931,Ativo,SERVIÇO DISTRITAL DE MARIA HELENA,PR,MARIA HELENA,RUA GUAÍRA 580,CENTRO,87480000,
144949,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE ÁGUAS DE LINDÓIA",SP,AGUAS DE LINDOIA,"AVENIDA BRASIL, N° 382",CENTRO,13940000,
144980,Ativo,CARTÓRIO DE REGISTRO CIVIL E TABELIONATO - DISTRITO DE IRUNDI,ES,FUNDAO,"ZONA RURAL, DISTRITO DE IRUNDI",ZONA RURAL,29185000,
145003,Ativo,CARTÓRIO DE REGISTRO CIVIL E TABELIONATO DE NOTAS - DISTRITO DE SÃO JORGE DE TIRADENTES,ES,RIO BANANAL,"RUA JOÃO MARIM, 26",CENTRO,29925000,
145037,Inativo,CARTÓRIO DE REGISTRO CIVIL E TABELIONATO - DIVINO SÃO LOURENÇO,ES,DIVINO DE SAO LOURENCO,"RUA GENUINO LOPES, 12",CENTRO,29590000,
145045,Ativo,"REGISTRO DE IMÓVEIS, PESSOAS JURÍDICAS, TÍTULOS E DOCUMENTOS, PROTESTO, NOTAS E REGISTRO CIVIL DAS PESSOAS NATURAIS DE BRAZABRANTES.",GO,BRAZABRANTES,AV. AURELIANO CAETANO MACHADO S/N,CENTRO,75440000,
145052,Ativo,OFÍCIO DE REGISTRO CIVIL E TABELIONATO DE NOTAS - DISTRITO DE GRAÇA ARANHA,ES,COLATINA,"RUA SANTA LUZIA, 148",GRAÇA ARANHA,29716050,
145060,Ativo,CARTÓRIO ASTORI,ES,GUARAPARI,"PRAÇA DOM CAVATTI, S/Nº.",TODOS OS SANTOS,29228985,
145102,Inativo,CARTÓRIO DE REGISTRO CIVIL E TABELIONATO DE NOTAS - DISTRITO DE SANTO AGOSTINHO,ES,ÁGUA DOCE DO NORTE,"RUA VEREADOR MARIO DE OLIVEIRA DIAS, S/Nº,",CENTRO,29824000,
145219,Ativo,CARTÓRIO DA LAPINHA REGISTRO CIVIL E TABELIONATO DE NOTAS,MG,LAGOA SANTA,"RUA SANTANA, 16",DISTRITO DE LAPINHA,33400000,
145235,Inativo,CARTÓRIO DE REGISTRO CIVIL DO DISTRITO DE RIACHÃO BOCANARTE,PB,INGA,RUA SENADOR CABRAL,CENTRO,58382000,
145250,Ativo,OFÍCIO DE REGISTRO CIVIL DE CACIMBA DE AREIA,PB,CACIMBA DE AREIA,PRAÇA CORAÇAO DE JESUS,CENTRO,58730000,
145268,Ativo,SERVIÇO DISTRITAL DE NOSSA SENHORA DAS GRAÇAS,PR,NOSSA SENHORA DAS GRACAS,"RUA ARTHUR BERNANDES, 07",CENTRO,86680000,
145318,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS COM ATRIBUIÇÃO NOTARIAL,MG,FRUTA DE LEITE,"RUA CLEMENTE MARTINS BARBOSA, Nº. 590",CENTRO,39558000,
145359,Ativo,MARIA LUZINETE ARAÚJO PESSOA,PB,SAO VICENTE DO SERIDO,RUA PREFEITO INÁCIO CLAUDINO 360,CENTRO,58158000,
145367,Ativo,"CARTÓRIO DE REGISTRO CIVIL E NOTAS DO DISTRITO DE ARACATI COMARCA DE CATAGUASES,MG",MG,CATAGUASES,"RUA PASTOR FERREIRA, S/Nº",CENTRO,36776000,
145417,Inativo,RCPN DO 1º DISTRITO DA COMARCA DE MENDES,RJ,MENDES,"RUA CAPITAO FRANCISCO CABRAL, 95, SALA 10",CENTRO,26700000,
145425,Inativo,CARTÓRIO DE NOTAS E REGISTRO CIVIL DO DISTRITO DE COUTINHO,ES,CACHOEIRO DE ITAPEMIRIM,"RUA OTAVIANO AGUSTINHO, S/Nº",DISTRITO DE COUTINHO,29302890,
145458,Ativo,SERVIÇO DISTRITAL DE JARDIM OLINDA,PR,PARANACITY,"AVENIDA SIQUEIRA CAMPOS, 652",CENTRO.,87690000,
145474,Ativo,SERVIÇO DISTRITAL DE ESPERANCA NOVA,PR,ESPERANCA NOVA,"AV JUVENAL SILVA BRAGA,155",CENTRO,87545000,
145516,Inativo,CARTÓRIO DO 1º OFICIO REG. CIVIL,CE,ITAPAJE,"AV. TICO GOMES, Nº 57 - CENTRO",CENTRO,62600000,
145557,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDIC E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE BRODOWSKI",SP,BRODOWSKI,"PRAÇA MARTIN MOREIRA, 51 - CENTRO - CEP 14340000",CENTRO,14340000,
145565,Ativo,CARTÓRIO DO REGISTRO CIVIL DO DISTRITO DE PITOMBEIRA,CE,ITAPAJE,FAZENDA PARAISO,ZONA RURAL,62600000,
145573,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE MAIRINQUE - SP",SP,MAIRINQUE,"RUA RINALDO MORI, 270",VILA SOROCABANA,18120000,
145581,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE BORBOREMA",SP,BORBOREMA,"RUA MAJOR CLAUDINO DO NASCIMENTO, 101",CENTRO,14955000,
145599,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TITULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE TREMEMBÉ",SP,TREMEMBE,"RUA MONSENHOR AMADOR BUENO, NºS 436 E 438",CENTRO,12120000,
145607,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TITULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE IPAUSSU",SP,IPAUSSU,"RUA WASHINGTON LUIZ, 616- CENTRO - CEP 18950000",CENTRO,18950000,
145623,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TITULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE ILHA SOLTEIRA",SP,ILHA SOLTEIRA,"AVENIDA BRASIL SUL, 1188/1196 - CEP 15385000",CENTRO,15385000,
145631,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE PILAR DO SUL",SP,PILAR DO SUL,"RUA CANDIDO AYRES, N° 45, 1º ANDAR, CAMPO GRANDE - CEP 18185000",CAMPO GRANDE,18185000,
145664,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE IPUÃ",SP,IPUA,"AVENIDA CARLOS FERNANDES, 425",CENTRO,14610000,
145672,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOA JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE MACATUBA",SP,MACATUBA,"RUA RIO DE JANEIRO, 09-35",CENTRO,17290000,
145680,Ativo,"OFICIAL DE REGISTRO DE IMÓVEIS, TÍTULOS E DOCUMENTOS, CIVIL DE PESSOAS JURÍDICA E CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DA SEDE DA COMARCA DE PANORAMA",SP,PANORAMA,"ALAMEDA TANCREDO DE ALMEIDA NEVES, 360 - CENTRO - CEP 17980-000",CENTRO,17980000,
145755,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS,GO,SANTA ISABEL,"AV. ANTÔNIO FRANCISCO DA SILVA, 52, CENTRO",CENTRO,76320000,
